nombre;marca;presentacion;precio;lugar;unidades;tipo;grupo;categoria_precio
Leche en Polvo Semidescremada Deslactosada;Zymil;380.0;10990;Jumbo;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Descremada;Colanta;400.0;8390;Jumbo;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;Éxito;380.0;8790;Jumbo;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;Colanta;400.0;8390;Jumbo;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Semidescremada;Svelty;672.0;23590;Jumbo;g;Leche;Alimentos Frescos;Alto
Leche en Polvo;El Rodeo;380.0;8390;Jumbo;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;El Rodeo;900.0;18590;Jumbo;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Entera;Klim;2300.0;53990;Jumbo;g;Leche;Alimentos Frescos;Alto
Leche Condensada;Colombina;400.0;5790;Jumbo;g;Leche;Alimentos Frescos;Medio
Leche Condensada;La Lechera;395.0;6392;Jumbo;g;Leche;Alimentos Frescos;Medio
Leche Condensada;La Lechera;100.0;1480;Jumbo;g;Leche;Alimentos Frescos;Bajo
Leche Condensada;La Lechera;420.0;4999;Jumbo;g;Leche;Alimentos Frescos;Medio
Leche de Almendras sin Azúcar;Hatsu;1000.0;11990;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras con Sabor Natural;Hatsu;1000.0;11990;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras con Sabor Natural;Alpina;200.0;2692;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche de Coco;Antillana;250.0;2450;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche de Coco;Best Choice;400.0;8113;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Coco;Hatsu;1000.0;11990;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya con Sabor a Vainilla;Silk;946.0;13990;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche de Soya;Silk;946.0;13990;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche de Soya;Silk;946.0;11192;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Sabor a Chocolate;Milo;1080.0;9592;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Saborizada;Colanta;1200.0;6790;Jumbo;ml;Leche;Alimentos Frescos;Medio
Leche con Sabor a Chocolate;Alpina;1200.0;8992;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Saborizada;Alpina;1200.0;8542;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Saborizada;Alpina;1080.0;6592;Jumbo;ml;Leche;Alimentos Frescos;Medio
Leche con Avena;Alpina;1000.0;8790;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Deslactosada con Avena;Alpina;1200.0;8590;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Avena;Parmalat;1200.0;7590;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Descremada con Avena;Finesse;250.0;2690;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche Deslactosada con Avena;Alpina;250.0;2590;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena y Sabor a Canela;Alpina;250.0;2590;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena;Alpina;250.0;2590;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena y Sabor a Canela;Colanta;1080.0;6990;Jumbo;ml;Leche;Alimentos Frescos;Medio
Leche Deslactosada con Avena;Alpina;1000.0;8790;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Avena;Alpina;1200.0;7790;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Avena y Sabor a Canela;Colanta;200.0;1390;Jumbo;ml;Leche;Alimentos Frescos;Bajo
Leche Descremada con Avena;Finesse;1000.0;9590;Jumbo;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Arroz;Isola Bio;1000.0;17590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche de Arroz;Isola Bio;1000.0;17590;Jumbo;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Latti;900.0;3690;D1;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Entera;Latti;900.0;3550;D1;ml;Leche;Alimentos Frescos;Bajo
Leche Pasteurizada Entera;Latti;1000.0;3490;D1;ml;Leche;Alimentos Frescos;Bajo
Leche Pasteurizada Semidescremada;Latti;1000.0;1650;D1;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Descremada Deslactosada;Latti;900.0;3990;D1;ml;Leche;Alimentos Frescos;Medio
Leche en Polvo Deslactosada;Colanta;400.0;8650;D1;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Descremada;Colanta;400.0;7750;D1;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;Latti;1000.0;20990;D1;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Deslactosada;Latti;400.0;7950;D1;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;Colanta;1000.0;14000;D1;g;Leche;Alimentos Frescos;Alto
Leche en Polvo Descremada;Latti;400.0;10690;D1;g;Leche;Alimentos Frescos;Medio-Alto
Leche Condensada;Latti;300.0;3490;D1;g;Leche;Alimentos Frescos;Bajo
Leche Condensada;Latti;400.0;3950;D1;g;Leche;Alimentos Frescos;Medio
Leche de Almendras sin Azúcar;So Delicious;946.0;8990;D1;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras con Sabor a Vainilla;So Delicious;946.0;8990;D1;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras con Sabor Natural;Silk;946.0;7490;D1;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras con Sabor Natural;So Delicious;946.0;7490;D1;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Almendras;Almondee;946.0;7450;D1;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Saborizada;Latti;1200.0;3990;D1;ml;Leche;Alimentos Frescos;Medio
Leche Saborizada;Latti;600.0;3290;D1;ml;Leche;Alimentos Frescos;Bajo
Leche con Sabor a Chocolate;Latti;600.0;4490;D1;ml;Leche;Alimentos Frescos;Medio
Leche con Sabor a Fresa;Latti;600.0;4490;D1;ml;Leche;Alimentos Frescos;Medio
Leche con Avena;Latti;1200.0;3850;D1;ml;Leche;Alimentos Frescos;Medio
Leche con Avena;San Fernando;900.0;3790;D1;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena y Sabor a Canela;Pomar;900.0;3790;D1;ml;Leche;Alimentos Frescos;Bajo
Leche con Avena;Latti;200.0;690;D1;ml;Leche;Alimentos Frescos;Bajo
Leche Asada;San Francisco;120.0;2990;D1;g;Leche;Alimentos Frescos;Bajo
Tortillas;Bimbo;580.0;10480;Éxito;g;Tortillas;Productos de Panadería y Cereal;Alto
Tortillas para Fajitas;Azteca;240.0;6040;Éxito;g;Tortillas;Productos de Panadería y Cereal;Medio
Tortillas;Azteca;310.0;6740;Éxito;g;Tortillas;Productos de Panadería y Cereal;Medio-Alto
Tortillas;Azteca;400.0;8240;Éxito;g;Tortillas;Productos de Panadería y Cereal;Medio-Alto
